ID (Mã chức năng)	Test Title	Test Case Description (Mô tả trường hợp)	Test Case Procedure (Thủ tục thực hiện)	Test Data (Dữ liệu truyền vào)	Expected Output (Kết quả mong muốn)
PG-22	Filter theo loại giảm giá	Kiểm tra lọc theo discountType percentage/fixed	1) Mở trang Quản lý phiếu giảm giá; 2) Chọn Discount Type = Percentage; 3) Quan sát danh sách; 4) Đổi sang Amount; 5) Quan sát lại	Danh sách có cả phiếu % và phiếu số tiền	Bộ lọc chỉ hiển thị phiếu có discount_type = percentage khi chọn Percentage; chỉ hiển thị phiếu fixed khi chọn Amount; All hiển thị lại toàn bộ
PG-23	Filter theo khoảng % giảm	Kiểm tra slider discountPercentRange cho phiếu %	1) Kéo slider % về [10,30]; 2) Quan sát danh sách; 3) Đưa slider về [0,100]	Có phiếu 5%, 15%, 40%	voucher discount_type=percentage với value trong [10,30] vẫn hiển thị; phiếu 5% và 40% bị ẩn; phiếu amount không bị lọc bởi slider %
PG-24	Filter theo khoảng số tiền giảm	Kiểm tra slider discountAmountRange cho phiếu số tiền	1) Kéo slider số tiền về [100k,500k]; 2) Quan sát danh sách; 3) Đưa slider về giá trị mặc định	Có phiếu 50k, 200k, 800k	Chỉ phiếu amount với discount_value trong [100k,500k] còn trên danh sách; phiếu % không bị ảnh hưởng; khi trả slider về mặc định danh sách trở lại theo filter khác
PG-25	Filter theo giá trị đơn hàng tối thiểu	Kiểm tra slider minOrderRange	1) Kéo slider minOrder về [500k,2M]; 2) Quan sát danh sách	Có phiếu không giới hạn, 300k, 1M, 3M	phiếu min_order_value null được xem là 0 và lọc ngoài khoảng; chỉ hiển thị phiếu có min_order_value trong [500k,2M]
PG-26	Filter theo số lượng phiếu	Kiểm tra slider quantityRange với ∞	1) Kéo slider quantity về [10,200]; 2) Quan sát phiếu có usage_limit 5, 20, null (∞); 3) Kéo max lên giá trị mặc định	Có phiếu usage_limit=5,20,null	Trong [10,200] chỉ hiển thị phiếu usage_limit 20; phiếu 5 và ∞ bị loại; khi max = mặc định (1000) thì phiếu ∞ xuất hiện lại (áp dụng Infinity logic)
PG-27	Filter theo trạng thái active/expired/used_up	Kiểm tra radio Status với nhiều trạng thái	1) Chuẩn bị dữ liệu có active, expired, used_up, upcoming, inactive; 2) Chọn Active; 3) Chọn Expired; 4) Chọn All	Danh sách đa trạng thái	Active: chỉ hiển thị status='active'; Expired: chỉ hiển thị status='expired'; All: hiển thị tất cả; used_up và upcoming không xuất hiện khi chọn Active/Expired nếu không đúng giá trị
PG-28	Search theo mã/tên/giá trị giảm	Kiểm tra filters.search	1) Nhập một phần mã phiếu; 2) Nhập một phần tên phiếu; 3) Nhập chuỗi trùng giá trị giảm (ví dụ "10%" hoặc "100.000")	Chuỗi trùng code/name/discount_value	Bảng chỉ hiển thị các phiếu có code, name hoặc chuỗi format discount_value chứa ký tự tìm kiếm; so sánh không phân biệt hoa/thường
PG-29	Ô tìm kiếm trên bảng	Kiểm tra tableSearch hoạt động song song với filter chính	1) Thiết lập vài filter; 2) Nhập keyword vào ô search bảng; 3) Xóa keyword	TableSearch có giá trị hợp lệ	Danh sách bị thu hẹp theo tableSearch (code/name/value/minOrder); khi xóa, danh sách quay lại theo filteredCoupons (dựa trên filter form)
PG-30	Badge riêng tư/công khai	Kiểm tra hiển thị privacy-badge theo featured	1) Xem danh sách phiếu có featured=true/false; 2) Mở chi tiết một phiếu private và một phiếu public	Các phiếu có featured true/false	Bảng hiển thị icon-lock + text Private khi featured=true, icon-public + text Public khi false; modal chi tiết lặp lại badge tương ứng
PG-31	Hiển thị usage limits và quantity	Kiểm tra cột usage_limits và quantity	1) Mở danh sách; 2) Kiểm tra phiếu có usage_limit=null, usage_limit=100, soLuongDaDung được set	Các tổ hợp limit / used khác nhau	Cột usage_limits hiển thị "total_used/total_usage_limit hoặc ∞ tổng"; cột quantity hiển thị "còn lại/tổng" khi usage_limit != null, và "∞" khi null
